Atoll,Island,Date,Type,Area_sqm,Rationale  Description,Rationale
Alifu Dhaalu,Mahibadhoo,2023,Extension,70000,,Social Development & Recreation
Alifu Dhaalu,Maamigili,2011,Airport Development,15000,,Economic Development
Alifu Dhaalu,Maamigili,2023,Maritime Development ,80000,need for more vessels,Economic Development
Meemu,Dhiggaru,2021,"Extension
Environmental Protection",250000,Environmental Protection,Climate & Environment
Meemu,Muli,2016,Extension,403902.31,land shortage,Social Development & Recreation
Meemu,Muli,2021,Airport Development,170000,transport,Transport & Connectivity
Faafu,Feeali,2023,Extension ,138000,Need for additional land for community,Social Development & Recreation
Faafu,Magoodhoo,2014,Maritime Development ,38804,Economic Development,Economic Development
Faafu,Magoodhoo,2019,"Airport Development 
Extension",478000, transportation and housing ,Social Development & Recreation
Faafu,Nilandhoo,2019,"Extension
Maritime Development",161928.52,"Economic
housing and infrastructure development including semiindustrial activities.",Social Development & Recreation
Dhaalu,Kudahuvadhoo,2013,"Extension
",650000,"Post Tsunami - mass movement to this island. Housing, commercial and industrial demand for land. ",Social Development & Recreation
Dhaalu,Kudahuvadhoo,2014,Airport Development,Unverified,"Transport, regional development",Transport & Connectivity
Dhaalu,Meedhoo,2016,Extension,230340,"housing, industrial",Social Development & Recreation
Thaa,Guraidhoo,2014,Extension,440624.63,"housing, industrial and commercial ",Social Development & Recreation
Thaa,Hirilandhoo,2019,"Maritime Development
Extension 
Environmental Protection",250000,Housing and commercial uses ,Social Development & Recreation
Thaa,Omadhoo,2016,Maritime Development ,17776,Economic,Economic Development
Thaa,Thimarafushi,2011,Extension,240000,"Land shortage Housing, industrial ",Social Development & Recreation
Thaa,Thimarafushi,2012,Airport Development,691745.15,Airport ,Transport & Connectivity
Thaa,Vilufushi,2005,Extension,420972.73,housing,Social Development & Recreation
Thaa,Vilufushi,2023,Extension,563400,"socioeconomic developement, transport, trade, commerce, tourism",Economic Development
Gaafu Alifu,Dhaandhoo,2022,"New Island
Environmental Protection",250000,"Socio-economic Development
Land Scarcity
Shore Protection",Social Development & Recreation
Gaafu Dhaalu,Thinadhoo,2015,Extension ,560000," increased need to 
expand the land area for building residential, economic, and commercial and social services i",Social Development & Recreation
Gaafu Dhaalu,Thinadhoo,2022,"Extension 
New island",105874,Industrial - land use shortage (port),Social Development & Recreation
Seenu,Gan,2013,Airport Development,325000,"Economic development, tourism ",Economic Development
Seenu,Hithadhoo,2012,Extension,184703.99,Industrial ,Economic Development
Seenu,Hithadhoo,2023,Extension,900000,"Recreational use and commerical use
residential, commercial, and industrial development",Social Development & Recreation
Seenu,Hulhudhoo-Meedhoo,2021,"Extension
",Unverified,Tourism,Economic Development
Seenu,Hulhudhoo-Meedhoo,2023,"Extension
",323000,"New land - industry and recreation
residential, commercial, and industrial development",Social Development & Recreation
Seenu,Maradhoo-Feydhoo,2023,Extension,760000,"residential, commercial, and industrial development",Social Development & Recreation
Seenu,Hankede****,TBC,"Extension
",50000,"Socio-economic development (employment, small & medium businesses)",Economic Development
